,Company,Segment,Segment Description,text,Predicted
6354,bath & body works inc.,Accessories,"Sells hand soaps, hand sanitizers, shower accessories, loofahs, bath accessories and other complementary products.","bath & body works inc. Accessories Sells hand soaps, hand sanitizers, shower accessories, loofahs, bath accessories and other complementary products.",Not Applicable
5709,transocean ltd.,Other Assets,Other assets including swamp barges and inland barges,transocean ltd. Other Assets Other assets including swamp barges and inland barges,Not Applicable
2939,insulet corporation,Drug Delivery Systems,"Designs, develops and commercializes drug delivery systems for self-injection of insulin and other drugs","insulet corporation Drug Delivery Systems Designs, develops and commercializes drug delivery systems for self-injection of insulin and other drugs",Not Applicable
228,prudential plc,United Kingdom,"Provides insurance, investment management and retirement income products and services in the UK.","prudential plc United Kingdom Provides insurance, investment management and retirement income products and services in the UK.",Not Applicable
5346,mondi plc,Corrugated Packaging,"Manufactures and sells containerboard, corrugated packaging products, and related technical and logistics services","mondi plc Corrugated Packaging Manufactures and sells containerboard, corrugated packaging products, and related technical and logistics services",Sustainable Food & Agriculture
4418,the ensign group inc.,Rehabilitation Therapy Services,Provides rehabilitation therapy services to healthcare providers.,the ensign group inc. Rehabilitation Therapy Services Provides rehabilitation therapy services to healthcare providers.,Not Applicable
4275,ball corporation,Aerospace,"Provides aerospace technologies and services, including spacecraft, instruments and sensors and tactical hardware.","ball corporation Aerospace Provides aerospace technologies and services, including spacecraft, instruments and sensors and tactical hardware.",Not Applicable
3066,caredx inc,Kidney Care,Provides AlloSure blood test to detect kidney transplant rejection and AlloMap to monitor the health of a transplanted kidney,caredx inc Kidney Care Provides AlloSure blood test to detect kidney transplant rejection and AlloMap to monitor the health of a transplanted kidney,Not Applicable
2473,terex corporation,Genie,"Designs, manufactures, and markets portable aerial work platforms and telehandlers used in construction, industrial, institutional, and other applications","terex corporation Genie Designs, manufactures, and markets portable aerial work platforms and telehandlers used in construction, industrial, institutional, and other applications",Energy Management & Efficiency
4129,central bank of india,Corporate Banking,"Loans, cash management services, trade finance for corporate customers","central bank of india Corporate Banking Loans, cash management services, trade finance for corporate customers",Not Applicable
6353,bath & body works inc.,Gift Sets,"Offers pre-packaged gifts sets that contain a selection of the company's popular candle, body care and home fragrance products.","bath & body works inc. Gift Sets Offers pre-packaged gifts sets that contain a selection of the company's popular candle, body care and home fragrance products.",Not Applicable
4367,buzzfeed inc.,Advertising,"Monetizes content through native ads, sponsored posts, and revenue sharing with platforms like Facebook.","buzzfeed inc. Advertising Monetizes content through native ads, sponsored posts, and revenue sharing with platforms like Facebook.",Not Applicable
4096,burning rock biotech limited,Development of Diagnostic Assays,"Designs custom assays and panels for genomic mutation profiling, including both liquid and tissue biopsy-based tests.","burning rock biotech limited Development of Diagnostic Assays Designs custom assays and panels for genomic mutation profiling, including both liquid and tissue biopsy-based tests.",Not Applicable
4196,asml holding n.v.,Advanced software products,Develops computational lithography software and modeling programs to optimize chip design and predict lithographic results.,asml holding n.v. Advanced software products Develops computational lithography software and modeling programs to optimize chip design and predict lithographic results.,Digital Infrastructure
3408,ladder capital corp,Real Estate Equity,Invests in joint venture equity for real estate development and acquisition financing,ladder capital corp Real Estate Equity Invests in joint venture equity for real estate development and acquisition financing,Not Applicable
6047,avid bioservices inc.,Conjugation,Offers conjugation services to link antibodies or proteins to cytotoxins and other therapeutic agents,avid bioservices inc. Conjugation Offers conjugation services to link antibodies or proteins to cytotoxins and other therapeutic agents,Not Applicable
4103,carter bankshares inc.,Retail Banking,"Offers consumer banking products including checking, savings, certificates of deposit, and money market accounts, as well as mortgages, home equity loans, credit cards, and personal loans","carter bankshares inc. Retail Banking Offers consumer banking products including checking, savings, certificates of deposit, and money market accounts, as well as mortgages, home equity loans, credit cards, and personal loans",Not Applicable
2900,arlo technologies inc.,Technical Support,"Provides technical support services to assist customers with setup, connectivity, troubleshooting, and general product assistance.","arlo technologies inc. Technical Support Provides technical support services to assist customers with setup, connectivity, troubleshooting, and general product assistance.",Not Applicable
4080,charter communications inc.,Spectrum Mobile,Offers mobile services as an MVNO to residential and commercial customers,charter communications inc. Spectrum Mobile Offers mobile services as an MVNO to residential and commercial customers,Not Applicable
4479,triumph group inc.,Integrated Systems,"Designs, engineers, manufactures, repairs, overhauls, and distributes aircraft structures, mechanical and electromechanical systems and components","triumph group inc. Integrated Systems Designs, engineers, manufactures, repairs, overhauls, and distributes aircraft structures, mechanical and electromechanical systems and components",Transport Solutions
2283,lincoln electric holdings inc.,International Welding,"Manufactures arc welding equipment, consumable welding products, and other welding and cutting products for sale outside of North and South America.","lincoln electric holdings inc. International Welding Manufactures arc welding equipment, consumable welding products, and other welding and cutting products for sale outside of North and South America.",Energy Management & Efficiency
4709,amiad water systems ltd.,Irrigation Equipment,Designs and manufactures drip irrigation systems and components for agriculture,amiad water systems ltd. Irrigation Equipment Designs and manufactures drip irrigation systems and components for agriculture,Water Infrastructure & Technologies
2860,luzerner kantonalbank ag,Wealth Management,"Offers wealth management solutions including financial planning, investment advisory, asset management, and estate planning services","luzerner kantonalbank ag Wealth Management Offers wealth management solutions including financial planning, investment advisory, asset management, and estate planning services",Not Applicable
5470,paragon banking group plc,Central costs and treasury,"Centralized functions like finance, HR, IT, treasury etc.","paragon banking group plc Central costs and treasury Centralized functions like finance, HR, IT, treasury etc.",Not Applicable
2864,bce inc.,Media,"BCE's media segment owns and operates TV, radio, digital media and out-of-home advertising platforms under brands like CTV, TSN, RDS and more.","bce inc. Media BCE's media segment owns and operates TV, radio, digital media and out-of-home advertising platforms under brands like CTV, TSN, RDS and more.",Not Applicable
2154,northern trust corporation,Asset Management,"Active, passive and exchange-traded fund asset management across equity, fixed income, multi-asset and alternatives","northern trust corporation Asset Management Active, passive and exchange-traded fund asset management across equity, fixed income, multi-asset and alternatives",Not Applicable
254,biogen inc.,Immunology,Focuses on developing treatments for autoimmune disorders.,biogen inc. Immunology Focuses on developing treatments for autoimmune disorders.,Not Applicable
3263,venator materials plc,Titanium Dioxide,"Manufactures titanium dioxide pigments used in paints, plastics, paper and other applications","venator materials plc Titanium Dioxide Manufactures titanium dioxide pigments used in paints, plastics, paper and other applications",Transport Solutions
4608,citizens financial services inc.,Commercial Banking,"Provides services such as business lending, cash management, equipment leasing, retirement planning, and more to commercial customers.","citizens financial services inc. Commercial Banking Provides services such as business lending, cash management, equipment leasing, retirement planning, and more to commercial customers.",Not Applicable
1562,bluelinx holdings inc.,Siding products,"Vinyl, wood, fiber cement, and composite sidings used on the exterior of homes and buildings","bluelinx holdings inc. Siding products Vinyl, wood, fiber cement, and composite sidings used on the exterior of homes and buildings",Energy Management & Efficiency
3049,artisan partners asset management inc.,Global Growth Strategies,Focuses on high-quality global growth companies across market capitalizations in both developed and emerging markets through two strategies: International Growth and Global Growth.,artisan partners asset management inc. Global Growth Strategies Focuses on high-quality global growth companies across market capitalizations in both developed and emerging markets through two strategies: International Growth and Global Growth.,Not Applicable
221,adyen nv,Payments Platform,"Adyen's core product is a payments platform that allows merchants to accept payments from customers across different sales channels, such as online, mobile, and in-store. The platform supports credit cards, debit cards, and various local payment methods.","adyen nv Payments Platform Adyen's core product is a payments platform that allows merchants to accept payments from customers across different sales channels, such as online, mobile, and in-store. The platform supports credit cards, debit cards, and various local payment methods.",Not Applicable
4357,cambridge bancorp,Cash Management,"Provides cash management, merchant services, and other treasury services to commercial clients.","cambridge bancorp Cash Management Provides cash management, merchant services, and other treasury services to commercial clients.",Not Applicable
2440,canon inc.,Imaging System,"Digital cameras, digital video camcorders, digital compact camera printers, interchangeable lenses, compact photo printers, inkjet printers, large format inkjet printers, etc.","canon inc. Imaging System Digital cameras, digital video camcorders, digital compact camera printers, interchangeable lenses, compact photo printers, inkjet printers, large format inkjet printers, etc.",Digital Infrastructure
65,rinnai corporation,Residential Gas Water Heaters,Manufactures gas tankless water heaters for residential applications,rinnai corporation Residential Gas Water Heaters Manufactures gas tankless water heaters for residential applications,Water Infrastructure & Technologies
1550,rev group inc.,Ambulance,"Designs and builds Type I, Type II, Type III and critical care ambulances","rev group inc. Ambulance Designs and builds Type I, Type II, Type III and critical care ambulances",Not Applicable
2227,central japan railway company,Transportation,Operates high-speed Shinkansen railway services on the TÃ…ÂkaidÃ…Â and SanyÃ…Â Shinkansen lines,central japan railway company Transportation Operates high-speed Shinkansen railway services on the TÃ…ÂkaidÃ…Â and SanyÃ…Â Shinkansen lines,Transport Solutions
4959,51job inc.,Online Recruitment Services,Operates an online recruitment platform that connects job seekers and employers in China,51job inc. Online Recruitment Services Operates an online recruitment platform that connects job seekers and employers in China,Not Applicable
2922,aqua metals inc.,Battery Manufacturing,Engaged in manufacturing lead acid batteries (AquaRefined lead) for industrial and deep-cycle applications,aqua metals inc. Battery Manufacturing Engaged in manufacturing lead acid batteries (AquaRefined lead) for industrial and deep-cycle applications,Resource Efficiency & Waste Management
3182,central puerto s.a.,Oil & Gas,"Engaged in oil and gas exploration, development and production in Argentina.","central puerto s.a. Oil & Gas Engaged in oil and gas exploration, development and production in Argentina.",Not Applicable
6337,cheniere energy partners l.p.,LNG and Natural Gas Marketing,Engages in LNG and natural gas marketing activities focused on providing liquefaction capacity at the LNG terminals,cheniere energy partners l.p. LNG and Natural Gas Marketing Engages in LNG and natural gas marketing activities focused on providing liquefaction capacity at the LNG terminals,Not Applicable
5776,american tower corporation,Latin America Property,"Owns, operates and develops multitenant communications real estate in Latin America.","american tower corporation Latin America Property Owns, operates and develops multitenant communications real estate in Latin America.",Not Applicable
1669,aecom,Energy & Water,"Delivers professional services for renewable energy facilities, power transmission and distribution networks, wastewater management and more.","aecom Energy & Water Delivers professional services for renewable energy facilities, power transmission and distribution networks, wastewater management and more.",Water Infrastructure & Technologies
5773,american tower corporation,U.S. Property,"Owns, operates and develops multitenant communications real estate in the United States.","american tower corporation U.S. Property Owns, operates and develops multitenant communications real estate in the United States.",Not Applicable
6565,baker hughes company,Oilfield Equipment,"Designs and manufactures equipment for oil and gas extraction, including drill bits, drilling and completion fluids, wireline logging, cementing, stimulation, and artificial lift systems","baker hughes company Oilfield Equipment Designs and manufactures equipment for oil and gas extraction, including drill bits, drilling and completion fluids, wireline logging, cementing, stimulation, and artificial lift systems",Energy Management & Efficiency
2880,viad corp,Travel & Recreation Group,Combines Pursuit and Brewster travel and hospitality businesses in Western Canada.,viad corp Travel & Recreation Group Combines Pursuit and Brewster travel and hospitality businesses in Western Canada.,Not Applicable
4997,aercap holdings n.v.,Aircraft Leasing,"Owns and manages aircraft, provides aircraft leasing and finance services","aercap holdings n.v. Aircraft Leasing Owns and manages aircraft, provides aircraft leasing and finance services",Transport Solutions
1954,kla corporation,Component Inspection,"Develops solutions for the inspection and review of various components like wafer shippers, disk drive heads, and packages.","kla corporation Component Inspection Develops solutions for the inspection and review of various components like wafer shippers, disk drive heads, and packages.",Environmental Services & Resources
3167,applus services s.a.,IDIADA,"Engineering, design and testing services for the automotive industry.","applus services s.a. IDIADA Engineering, design and testing services for the automotive industry.",Environmental Services & Resources
1352,american express company,Global Commercial Services,"Cards, payments and travel-related services for mid-sized companies and large corporations","american express company Global Commercial Services Cards, payments and travel-related services for mid-sized companies and large corporations",Not Applicable
932,abbott laboratories,Established Pharmaceuticals,"Offers branded generic prescription pharmaceuticals and consumer products, particularly in emerging markets.","abbott laboratories Established Pharmaceuticals Offers branded generic prescription pharmaceuticals and consumer products, particularly in emerging markets.",Not Applicable
2688,equity residential,Rental Properties,"Equity Residential owns, develops, acquires and manages apartment communities primarily in major metropolitan areas in the United States. They focus on providing housing to upper income residents.","equity residential Rental Properties Equity Residential owns, develops, acquires and manages apartment communities primarily in major metropolitan areas in the United States. They focus on providing housing to upper income residents.",Energy Management & Efficiency
1835,syneos health inc.,Syneos Digital,"Offers digital consulting, predictive analytics, omnichannel engagement, and digital communications solutions.","syneos health inc. Syneos Digital Offers digital consulting, predictive analytics, omnichannel engagement, and digital communications solutions.",Not Applicable
6134,cdk global inc.,Retail Solutions,Provides software and technology solutions for automotive retailers and original equipment manufacturers worldwide,cdk global inc. Retail Solutions Provides software and technology solutions for automotive retailers and original equipment manufacturers worldwide,Digital Infrastructure
1400,lithia motors inc.,New vehicle retail,Sells new vehicles under various brands,lithia motors inc. New vehicle retail Sells new vehicles under various brands,Not Applicable
4015,argo group international holdings ltd.,U.S. Operations,"Offers property, casualty, professional and specialty insurance products and services in the U.S.","argo group international holdings ltd. U.S. Operations Offers property, casualty, professional and specialty insurance products and services in the U.S.",Not Applicable
6018,bassett furniture industries incorporated,Manufacturing,"Designs and manufactures wood and upholstery furniture including cabinets, dressers, chairs, sofas, beds, and tables. Operates factories in North Carolina and Virginia.","bassett furniture industries incorporated Manufacturing Designs and manufactures wood and upholstery furniture including cabinets, dressers, chairs, sofas, beds, and tables. Operates factories in North Carolina and Virginia.",Not Applicable
376,canterbury park holding corporation,Racetrack Operations,"Operates a racetrack and card casino in Shakopee, Minnesota","canterbury park holding corporation Racetrack Operations Operates a racetrack and card casino in Shakopee, Minnesota",Not Applicable
4377,scor se,Life reinsurance,"Provides life and health reinsurance, offering solutions like yearly renewable term and coinsurance","scor se Life reinsurance Provides life and health reinsurance, offering solutions like yearly renewable term and coinsurance",Not Applicable
543,check point software technologies ltd.,Appliances,Sells physical and virtual security appliances that run Check Point's security software.,check point software technologies ltd. Appliances Sells physical and virtual security appliances that run Check Point's security software.,Digital Infrastructure
6566,baker hughes company,Turbomachinery & Process Solutions,"Manufactures equipment for liquefied natural gas (LNG), gas processing, pipelines, and other industrial applications","baker hughes company Turbomachinery & Process Solutions Manufactures equipment for liquefied natural gas (LNG), gas processing, pipelines, and other industrial applications",Energy Management & Efficiency
5445,amedisys inc.,Other Services,"Additional services such as remote patient monitoring, durable medical equipment, hospital programs, and more. May include new business segments and initiatives.","amedisys inc. Other Services Additional services such as remote patient monitoring, durable medical equipment, hospital programs, and more. May include new business segments and initiatives.",Not Applicable
2239,bristow group inc.,Training,Provides helicopter flight training services,bristow group inc. Training Provides helicopter flight training services,Not Applicable
755,avery dennison corporation,Home and Personal Care,"Labels, graphic films for hygiene, pharmaceutical and beauty companies","avery dennison corporation Home and Personal Care Labels, graphic films for hygiene, pharmaceutical and beauty companies",Resource Efficiency & Waste Management
291,kanematsu electronics ltd.,Automotive Electronics,Develops and supplies electronic components for automobiles,kanematsu electronics ltd. Automotive Electronics Develops and supplies electronic components for automobiles,Transport Solutions
764,persimmon plc,Construction,"Building contracted projects such as schools, care homes and commercial buildings","persimmon plc Construction Building contracted projects such as schools, care homes and commercial buildings",Energy Management & Efficiency
5905,employers holdings inc.,Reinsurance,Engages in assumed reinsurance to complement its primary insurance writings.,employers holdings inc. Reinsurance Engages in assumed reinsurance to complement its primary insurance writings.,Not Applicable
1416,berry global group inc.,Health,"Hygiene, and Specialties,Produces nonwoven specialty materials and engineered materials including tapes, fabrics, and films for hygiene, infection prevention, personal care, and healthcare applications","berry global group inc. Health Hygiene, and Specialties,Produces nonwoven specialty materials and engineered materials including tapes, fabrics, and films for hygiene, infection prevention, personal care, and healthcare applications",Not Applicable
188,yamana gold inc.,Jacobina,"Underground gold mine in Bahia State, Brazil. Produces over 150k ounces of gold per year.","yamana gold inc. Jacobina Underground gold mine in Bahia State, Brazil. Produces over 150k ounces of gold per year.",Not Applicable
4264,corus entertainment inc.,Television,"Operates specialty television networks and radio stations in Canada. Networks include Global Television, W Network, HGTV Canada, Food Network Canada, HISTORY, Showcase, and more.","corus entertainment inc. Television Operates specialty television networks and radio stations in Canada. Networks include Global Television, W Network, HGTV Canada, Food Network Canada, HISTORY, Showcase, and more.",Digital Infrastructure
177,united states steel corporation,Flat-Rolled Products,"Produces hot-rolled, cold-rolled, and coated sheet steel products. Used in automotive, infrastructure, packaging, construction industries.","united states steel corporation Flat-Rolled Products Produces hot-rolled, cold-rolled, and coated sheet steel products. Used in automotive, infrastructure, packaging, construction industries.",Resource Efficiency & Waste Management
4086,ambac financial group inc.,Investments and Other,"Invests in fixed income securities and equity investments, and provides investment advisory services for third parties","ambac financial group inc. Investments and Other Invests in fixed income securities and equity investments, and provides investment advisory services for third parties",Not Applicable
3979,shawcor ltd.,Composite Systems,"Designs, engineers, and manufactures composite pipe, fittings, riser systems and structural components made from fiberglass reinforced plastic and other composite materials.","shawcor ltd. Composite Systems Designs, engineers, and manufactures composite pipe, fittings, riser systems and structural components made from fiberglass reinforced plastic and other composite materials.",Water Infrastructure & Technologies
4105,carter bankshares inc.,Mortgage Lending,Originates residential mortgages and sells them in the secondary market to investors such as Fannie Mae and Freddie Mac,carter bankshares inc. Mortgage Lending Originates residential mortgages and sells them in the secondary market to investors such as Fannie Mae and Freddie Mac,Not Applicable
3841,pt united tractors tbk,Construction machinery,"Manufactures and sells heavy equipment for construction and mining industries. Products include excavators, bulldozers, wheel loaders, motor graders.","pt united tractors tbk Construction machinery Manufactures and sells heavy equipment for construction and mining industries. Products include excavators, bulldozers, wheel loaders, motor graders.",Sustainable Food & Agriculture
5309,carparts.com inc.,Auto Parts E-Commerce,"Online retail of aftermarket, recycled, refurbished, and remanufactured automotive parts","carparts.com inc. Auto Parts E-Commerce Online retail of aftermarket, recycled, refurbished, and remanufactured automotive parts",Not Applicable
501,resmed inc.,SaaS Offerings,"Provides cloud-based software-as-a-service solutions to healthcare providers and other stakeholders, including out-of-hospital software and home medical equipment providers.","resmed inc. SaaS Offerings Provides cloud-based software-as-a-service solutions to healthcare providers and other stakeholders, including out-of-hospital software and home medical equipment providers.",Digital Infrastructure
1022,ypsomed holding ag,Other,Provides contract manufacturing services for medical devices and diagnostics,ypsomed holding ag Other Provides contract manufacturing services for medical devices and diagnostics,Not Applicable
4607,the cooper companies inc.,Ocular Telehealth,Provides telehealth solutions for optometrists and ophthalmologists,the cooper companies inc. Ocular Telehealth Provides telehealth solutions for optometrists and ophthalmologists,Not Applicable
2941,insulet corporation,Infusion Sets,Produces disposable infusion sets to connect the Omnipod insulin pump to the body,insulet corporation Infusion Sets Produces disposable infusion sets to connect the Omnipod insulin pump to the body,Not Applicable
1042,consolidated water co. ltd.,Manufacturing,"Through its subsidiary Aerex Industries, engineers and manufactures a wide range of products and equipment including reverse osmosis equipment","consolidated water co. ltd. Manufacturing Through its subsidiary Aerex Industries, engineers and manufactures a wide range of products and equipment including reverse osmosis equipment",Water Infrastructure & Technologies
747,textron inc.,Aviation,"Manufactures, sells and services business jets, turboprop and piston engine aircraft, special mission and military aircraft, and aviation parts","textron inc. Aviation Manufactures, sells and services business jets, turboprop and piston engine aircraft, special mission and military aircraft, and aviation parts",Not Applicable
6272,apple inc.,Other Products,"Includes Apple Watch, AirPods, HomePod, accessories and other non-iPhone hardware products.","apple inc. Other Products Includes Apple Watch, AirPods, HomePod, accessories and other non-iPhone hardware products.",Not Applicable
672,dover corporation,Pumps & Process Solutions,"Manufactures specialty pumps including centrifugal and positive displacement pumps, metering pumps, and food and beverage systems","dover corporation Pumps & Process Solutions Manufactures specialty pumps including centrifugal and positive displacement pumps, metering pumps, and food and beverage systems",Water Infrastructure & Technologies
3800,akzo nobel n.v.,Specialty Chemicals,"Produces a wide range of specialty chemicals for industries and consumers worldwide, including chemicals used in construction, pulp and paper, and the oil and gas industry","akzo nobel n.v. Specialty Chemicals Produces a wide range of specialty chemicals for industries and consumers worldwide, including chemicals used in construction, pulp and paper, and the oil and gas industry",Sustainable Food & Agriculture
5858,cedar realty trust inc.,Redevelopment Projects,Engages in redevelopment projects to renovate and reposition existing properties.,cedar realty trust inc. Redevelopment Projects Engages in redevelopment projects to renovate and reposition existing properties.,Energy Management & Efficiency
1181,barratt developments plc,Commercial Developments,"Barratt develops and constructs commercial buildings and spaces, including offices, retail units, leisure facilities, etc.","barratt developments plc Commercial Developments Barratt develops and constructs commercial buildings and spaces, including offices, retail units, leisure facilities, etc.",Not Applicable
6424,hologic inc.,Breast Health,"Provides a wide range of diagnostic products which detect breast cancer in its earliest stages. This includes mammography systems, computer-aided detection (CAD) systems, minimally invasive breast biopsy devices, breast biopsy site markers, and breast biopsy guidance systems.","hologic inc. Breast Health Provides a wide range of diagnostic products which detect breast cancer in its earliest stages. This includes mammography systems, computer-aided detection (CAD) systems, minimally invasive breast biopsy devices, breast biopsy site markers, and breast biopsy guidance systems.",Not Applicable
1768,colony bankcorp inc.,Mortgage Banking,Originates residential mortgage loans which are sold in the secondary market to investors,colony bankcorp inc. Mortgage Banking Originates residential mortgage loans which are sold in the secondary market to investors,Not Applicable
5282,carter's inc.,Wholesale,"Sells products through national department stores, chain stores, and specialty stores.","carter's inc. Wholesale Sells products through national department stores, chain stores, and specialty stores.",Not Applicable
6750,mizuno corporation,Golf equipment,"Mizuno manufactures golf clubs, balls, bags, gloves and other golf equipment. Focuses on innovative technologies like Grain Flow Forged irons.","mizuno corporation Golf equipment Mizuno manufactures golf clubs, balls, bags, gloves and other golf equipment. Focuses on innovative technologies like Grain Flow Forged irons.",Sustainable Food & Agriculture
6437,bloom energy corporation,Energy Services,"Bloom offers monitoring, maintenance, and other services for its installed fuel cell systems to ensure optimal performance.","bloom energy corporation Energy Services Bloom offers monitoring, maintenance, and other services for its installed fuel cell systems to ensure optimal performance.",Alternative Energy
5310,carparts.com inc.,Collision Parts,Wholesale distribution of automotive collision parts and materials,carparts.com inc. Collision Parts Wholesale distribution of automotive collision parts and materials,Not Applicable
168,covestro ag,Polycarbonates,"Polycarbonates used in automotive, electrical, construction, medical","covestro ag Polycarbonates Polycarbonates used in automotive, electrical, construction, medical",Environmental Services & Resources
2275,bancfirst corporation,Mortgage Lending,Originates and sells residential mortgage loans to homebuyers,bancfirst corporation Mortgage Lending Originates and sells residential mortgage loans to homebuyers,Not Applicable
4851,sika ag,Equipment,"Manufactures adhesives, sealants and coatings used in the production and maintenance of transportation vehicles and equipment.","sika ag Equipment Manufactures adhesives, sealants and coatings used in the production and maintenance of transportation vehicles and equipment.",Energy Management & Efficiency
1507,fidelity national financial inc.,Restaurant,Owns and operates restaurants under various brands,fidelity national financial inc. Restaurant Owns and operates restaurants under various brands,Not Applicable
518,celldex therapeutics inc.,Combinations,Studies combining Celldex's antibody drug conjugates with immune modulating antibodies for enhanced anti-tumor activity,celldex therapeutics inc. Combinations Studies combining Celldex's antibody drug conjugates with immune modulating antibodies for enhanced anti-tumor activity,Not Applicable
5168,dominion energy inc.,Gas transmission & storage,"Operates one of the nation's largest natural gas storage systems and an interstate natural gas pipeline network,","dominion energy inc. Gas transmission & storage Operates one of the nation's largest natural gas storage systems and an interstate natural gas pipeline network,",Alternative Energy
5508,8x8 inc.,Voice over IP (VoIP),"Cloud business phone system with voice, video, chat, contact center, and API capabilities","8x8 inc. Voice over IP (VoIP) Cloud business phone system with voice, video, chat, contact center, and API capabilities",Digital Infrastructure
2447,keysight technologies inc.,Oscilloscopes,"Provides a comprehensive range of oscilloscopes including precision bench oscilloscopes, handheld oscilloscopes and high-performance real-time oscilloscopes.","keysight technologies inc. Oscilloscopes Provides a comprehensive range of oscilloscopes including precision bench oscilloscopes, handheld oscilloscopes and high-performance real-time oscilloscopes.",Not Applicable
319,capcom co. ltd.,Arcade games,Capcom operates arcade games and machines. This includes developing proprietary arcade cabinets as well as arcade versions of their video game IPs.,capcom co. ltd. Arcade games Capcom operates arcade games and machines. This includes developing proprietary arcade cabinets as well as arcade versions of their video game IPs.,Not Applicable
4628,cpfl energia s.a.,Distribution,"Operates electricity distribution concessions in the Brazilian states of SÃƒÂ£o Paulo, Rio Grande do Sul, Minas Gerais and ParanÃƒÂ¡","cpfl energia s.a. Distribution Operates electricity distribution concessions in the Brazilian states of SÃƒÂ£o Paulo, Rio Grande do Sul, Minas Gerais and ParanÃƒÂ¡",Alternative Energy
3276,boyd gaming corporation,Online Gambling,Operates online sports betting and casino gambling sites in regulated U.S. markets under the FanDuel brand.,boyd gaming corporation Online Gambling Operates online sports betting and casino gambling sites in regulated U.S. markets under the FanDuel brand.,Not Applicable
6626,borregaard asa,BioEthanol,Produces bioethanol fuel made from lignocellulosic biomass for the transportation sector,borregaard asa BioEthanol Produces bioethanol fuel made from lignocellulosic biomass for the transportation sector,Alternative Energy
245,baxter international inc.,Advanced Surgery,"Offers surgical equipment, sterile IV solutions, and other products used in surgical procedures.","baxter international inc. Advanced Surgery Offers surgical equipment, sterile IV solutions, and other products used in surgical procedures.",Not Applicable
3431,activision blizzard inc.,Overwatch,Team-based multiplayer first-person shooter set on earth in the near future,activision blizzard inc. Overwatch Team-based multiplayer first-person shooter set on earth in the near future,Not Applicable
6678,align technology inc.,Non-Case Materials,"Provides non-case materials, such as retention products, cleaning aids, tasting pads and applicators for Invisalign treatment.","align technology inc. Non-Case Materials Provides non-case materials, such as retention products, cleaning aids, tasting pads and applicators for Invisalign treatment.",Not Applicable
1176,tokyu corporation,Retail,"Operates department stores and supermarkets in Japan focusing on fashion, food, and lifestyle goods. Core chains include Tokyu Stores and Peacock Stores.","tokyu corporation Retail Operates department stores and supermarkets in Japan focusing on fashion, food, and lifestyle goods. Core chains include Tokyu Stores and Peacock Stores.",Not Applicable
506,perkinelmer inc.,Food,"Provides analytical instrumentation and testing services for food safety and quality control. Products include systems for pathogen, toxin, allergen, and GMO detection, as well as instruments for nutrient, moisture, and shelf-life analysis.","perkinelmer inc. Food Provides analytical instrumentation and testing services for food safety and quality control. Products include systems for pathogen, toxin, allergen, and GMO detection, as well as instruments for nutrient, moisture, and shelf-life analysis.",Environmental Services & Resources
1175,tokyu corporation,Real Estate,"Develops commercial facilities, offices, lodging, and residential properties, especially around Tokyu railway stations.","tokyu corporation Real Estate Develops commercial facilities, offices, lodging, and residential properties, especially around Tokyu railway stations.",Energy Management & Efficiency
3197,3m company,Safety and Industrial,"Safety and industrial products including personal safety, transportation safety, commercial solutions, and more","3m company Safety and Industrial Safety and industrial products including personal safety, transportation safety, commercial solutions, and more",Environmental Services & Resources
216,taikisha ltd.,Construction,"Provides construction services for large-scale buildings such as factories, office buildings, cultural facilities, hospitals, and more. Specializes in cleanroom construction.","taikisha ltd. Construction Provides construction services for large-scale buildings such as factories, office buildings, cultural facilities, hospitals, and more. Specializes in cleanroom construction.",Energy Management & Efficiency
4553,national bank of canada,Personal and Commercial Banking,"Products and services to personal and commercial customers including loans, deposits, transactional services like credit cards and banking plans","national bank of canada Personal and Commercial Banking Products and services to personal and commercial customers including loans, deposits, transactional services like credit cards and banking plans",Not Applicable
4366,buzzfeed inc.,Ecommerce,"Sells branded merchandise like apparel, accessories, and home goods through online BuzzFeed Shopping.","buzzfeed inc. Ecommerce Sells branded merchandise like apparel, accessories, and home goods through online BuzzFeed Shopping.",Not Applicable
1115,byrna technologies inc.,Ammunition,"Develops and sells less-lethal ammunition, including blunt impact projectiles designed to stop threats.","byrna technologies inc. Ammunition Develops and sells less-lethal ammunition, including blunt impact projectiles designed to stop threats.",Not Applicable
6188,brown & brown inc.,International,Operates in London and provides retail insurance brokerage and related services.,brown & brown inc. International Operates in London and provides retail insurance brokerage and related services.,Not Applicable
4560,bally's corporation,Hotels,"Owns and operates 4 hotel properties co-located with its casino properties, totaling over 1,150 rooms.","bally's corporation Hotels Owns and operates 4 hotel properties co-located with its casino properties, totaling over 1,150 rooms.",Energy Management & Efficiency
3208,barnes & noble education inc.,DSS,Provides student information systems and learning management software through its Digital Student Solutions (DSS) division. This includes the LoudCloud platform.,barnes & noble education inc. DSS Provides student information systems and learning management software through its Digital Student Solutions (DSS) division. This includes the LoudCloud platform.,Not Applicable
4890,clearwater paper corporation,Wood Products,"Produces lumber, plywood, and other wood products from nine company-owned sawmills and three company-owned plywood mills. The lumber and plywood are primarily used for residential construction.","clearwater paper corporation Wood Products Produces lumber, plywood, and other wood products from nine company-owned sawmills and three company-owned plywood mills. The lumber and plywood are primarily used for residential construction.",Sustainable Food & Agriculture
